Lon,Lat,时间,source,...5,X,Y
118.38944,39.05927,2021/5/28 4:01,GPS,NA,13179052.1761008,4730165.05097068
118.38959,39.05943,2021/5/28 2:02,GPS,NA,13179068.8740244,4730187.98885082
118.38969,39.0593,2021/5/28 0:01,GPS,NA,13179080.0059735,4730169.35181925
118.38969,39.05982,2021/5/27 18:02,GPS,NA,13179080.0059735,4730243.90015141
118.38945,39.0593,2021/5/27 14:02,GPS,NA,13179053.2892957,4730169.35181925
118.38961,39.05942,2021/5/27 10:01,GPS,NA,13179071.1004142,4730186.55523178
118.38927,39.05983,2021/5/27 6:01,GPS,NA,13179033.2517874,4730245.33377856
118.38931,39.05939,2021/5/27 4:00,GPS,NA,13179037.704567,4730182.25437591
118.3959,39.05563,2021/5/27 2:01,GPS,NA,13179771.3000113,4729643.2282396
118.39575,39.05567,2021/5/27 0:03,GPS,NA,13179754.6020877,4729648.96240915
118.39012,39.0611,2021/5/26 10:01,GPS,NA,13179127.8733546,4730427.40607748
118.3908,39.05935,2021/5/26 8:00,GPS,NA,13179203.5706083,4730176.51990425
118.38935,39.05942,2021/5/26 6:00,GPS,NA,13179042.1573466,4730186.55523178
118.38948,39.0595,2021/5/26 4:00,GPS,NA,13179056.6288804,4730198.02418972
118.38673,39.02811,2021/5/25 22:01,GPS,NA,13178750.5002808,4725698.88910689
118.38478,39.02876,2021/5/25 20:02,GPS,NA,13178533.4272737,4725792.03347429
118.38822,39.06052,2021/5/25 14:02,GPS,NA,13178916.366322,4730344.25454252
118.3895,39.05956,2021/5/25 8:00,GPS,NA,13179058.8552703,4730206.6259167
118.38919,39.05915,2021/5/25 6:01,GPS,NA,13179024.3462281,4730147.84759469
118.38683,39.03022,2021/5/25 4:03,GPS,NA,13178761.6322298,4726001.25317619
118.38684,39.02824,2021/5/24 22:01,GPS,NA,13178762.7454248,4725717.51791185
118.38731,39.02806,2021/5/24 20:01,GPS,NA,13178815.0655854,4725691.72419104
118.3896,39.05954,2021/5/24 18:02,GPS,NA,13179069.9872193,4730203.75867356
118.38946,39.05996,2021/5/24 16:01,GPS,NA,13179054.4024906,4730263.97095003
118.3903,39.05932,2021/5/24 14:02,GPS,NA,13179147.9108629,4730172.21905264
118.38872,39.05968,2021/5/24 10:02,GPS,NA,13178972.0260674,4730223.82939259
118.3896,39.05942,2021/5/24 8:01,GPS,NA,13179069.9872193,4730186.55523178
118.38863,39.03065,2021/5/24 6:01,GPS,NA,13178962.0073133,4726062.87350131
118.38824,39.03075,2021/5/24 4:00,GPS,NA,13178918.5927119,4726077.20386321
118.38888,39.03099,2021/5/24 2:00,GPS,NA,13178989.837186,4726111.5968145
118.38883,39.03146,2021/5/24 0:01,GPS,NA,13178984.2712114,4726178.95001573
118.38886,39.03061,2021/5/23 22:01,GPS,NA,13178987.6107962,4726057.14136223
118.38977,39.0604,2021/5/23 20:01,GPS,NA,13179088.9115328,4730327.05086195
118.38935,39.05927,2021/5/23 18:02,GPS,NA,13179042.1573466,4730165.05097068
118.39014,39.05921,2021/5/23 16:01,GPS,NA,13179130.0997444,4730156.44927903
118.38978,39.05964,2021/5/23 14:00,GPS,NA,13179090.0247277,4730218.09489737
118.38979,39.05997,2021/5/23 12:00,GPS,NA,13179091.1379226,4730265.40458003
118.39015,39.05991,2021/5/23 10:00,GPS,NA,13179131.2129393,4730256.8028031
118.39024,39.06122,2021/5/23 8:01,GPS,NA,13179141.2316934,4730444.60992862
118.38956,39.05956,2021/5/23 6:00,GPS,NA,13179065.5344397,4730206.6259167
118.38898,39.03122,2021/5/23 4:00,GPS,NA,13179000.969135,4726144.55683573
118.38874,39.03109,2021/5/23 2:02,GPS,NA,13178974.2524573,4726125.92724533
118.38953,39.05936,2021/5/22 20:01,GPS,NA,13179062.194855,4730177.95352186
118.39066,39.05962,2021/5/22 18:01,GPS,NA,13179187.9858796,4730215.22765099
118.39006,39.05922,2021/5/22 14:01,GPS,NA,13179121.1941851,4730157.8828938
118.38818,39.05996,2021/5/22 12:00,GPS,NA,13178911.9135424,4730263.97095003
118.39008,39.05999,2021/5/22 10:00,GPS,NA,13179123.4205749,4730268.27184063
118.39004,39.05942,2021/5/22 8:00,GPS,NA,13179118.9677953,4730186.55523178
118.38876,39.03096,2021/5/22 4:01,GPS,NA,13178976.4788471,4726107.2976892
