Lat,Lon,source
23.34249,120.151955,gbif
23.116364,120.11678,gbif
23.466576,120.19314,gbif
23.881945,120.29316,gbif
23.340738,120.16125,gbif
22.482761,114.01163,gbif
23.559727,120.16591,gbif
22.440025,120.4952,gbif
23.323788,120.142235,gbif
30.881153,121.97322,gbif
22.49418,114.03655,gbif
23.340738,120.16125,gbif
23.33179,120.18233,gbif
22.440025,120.4952,gbif
24.803747,121.80181,gbif
23.484688,120.16252,gbif
23.552185,120.151634,gbif
23.32563,120.1285,gbif
23.333366,120.182526,gbif
22.522419,114.00032,gbif
23.058739,120.10865,gbif
23.334074,120.16891,gbif
23.336906,120.164276,gbif
30.920507,121.97316,gbif
30.920507,121.97316,gbif
22.908964,120.24581,gbif
23.039701,120.101814,gbif
23.178823,120.133575,gbif
22.522419,114.00032,gbif
23.20552,120.10296,gbif
23.093884,120.117966,gbif
23.333508,120.182945,gbif
30.307709,113.84826,gbif
23.44089,120.16879,gbif
23.970348,120.3379,gbif
24.02748,120.37864,gbif
23.556067,120.16446,gbif
23.33179,120.18233,gbif
23.372488,120.16281,gbif
23.334074,120.16891,gbif
23.396057,120.195816,gbif
23.0226,120.1666,gbif
22.45974,114.03684,gbif
23.533644,120.19363,gbif
22.062916,120.70705,gbif
23.588303,120.147644,gbif
23.468002,120.16669,gbif
22.49418,114.03655,gbif
27.881645,120.87222,gbif
23.035791,120.09876,gbif
23.336653,120.15336,gbif
22.903402,120.18144,gbif
22.85815,115.52942,gbif
23.340738,120.16125,gbif
23.044733,120.09812,gbif
23.016943,120.137375,gbif
22.515457,113.95801,gbif
24.020866,120.374985,gbif
23.334074,120.16891,gbif
23.34249,120.151955,gbif
23.20552,120.10296,gbif
23.364443,120.17398,gbif
23.53264,120.1638,gbif
23.44693,120.15478,gbif
23.500423,120.13579,gbif
22.062916,120.70705,gbif
23.5067,120.119125,gbif
23.599108,120.16963,gbif
23.503532,120.12151,gbif
22.959015,120.18379,gbif
24.020142,120.3747,gbif
23.05968,120.09087,gbif
23.118942,120.124535,gbif
23.063692,120.14803,gbif
23.42289,120.16419,gbif
23.342693,120.17293,gbif
23.500423,120.13579,gbif
23.411898,120.19067,gbif
